fold,model,MAE,RMSE,MAPE,sMAPE,n
1,baseline_lag1,0.04720362547906118,0.15482624102180936,9.210429274003681,7.97376505211056,35747
1,baseline_lag24,0.29948443226004984,0.5263130192602816,74.62411785297776,52.23007533427075,35747
1,random_forest,0.006708965450558085,0.015351520117757738,1.4880879263177902,1.4714111886384025,35747
2,baseline_lag1,0.07965325992761381,0.23017612889590353,9.607618672294674,8.475387669501123,39234
2,baseline_lag24,0.45699021257072947,0.7762296598195704,67.5844446620386,45.67696525159092,39234
2,random_forest,0.014773693968701804,0.028682886713877302,2.42362474642024,2.401361162300924,39234
3,baseline_lag1,0.08505091005011871,0.25508523405178873,6.657202289176617,6.181994601741885,41701
3,baseline_lag24,0.4911891801155848,0.8471626830167434,49.96175556248413,38.46258693230439,41701
3,random_forest,0.017475490953905857,0.029298011419216036,2.3145336907510665,2.365384188636663,41701
4,baseline_lag1,0.06848839850722051,0.22358274803563236,5.478504550368452,5.137137774488258,43141
4,baseline_lag24,0.467116756681579,0.8305312348602749,46.77474859529605,36.79864549589353,43141
4,random_forest,0.015582686052513256,0.03478027257920723,1.6444372509056042,1.6416069719368418,43141
