segment,segment_value,MAE,RMSE,MAPE,sMAPE,n,fold,model
hour,0,0.04050269541778976,0.12072361564608255,9.149886495645678,8.259409758090811,1484,1,baseline_lag1
hour,1,0.03612800000000001,0.11426896924945693,9.378486564723573,7.769522253406162,1500,1,baseline_lag1
hour,2,0.032175999999999996,0.10014940838567145,8.424677290200066,7.487413324924436,1500,1,baseline_lag1
hour,3,0.03330933333333333,0.10867436373558087,9.232490877190658,7.729103250278923,1500,1,baseline_lag1
hour,4,0.039273333333333334,0.12315909494092049,9.187398485125145,7.867332457136474,1500,1,baseline_lag1
hour,5,0.035512,0.11361213550203751,8.646423564455826,7.33867568677184,1500,1,baseline_lag1
hour,6,0.031472,0.10038677203695713,9.103342785975439,7.740943834282938,1500,1,baseline_lag1
hour,7,0.054481333333333326,0.15599086298028272,9.065237490367444,8.432609401223123,1500,1,baseline_lag1
hour,8,0.04634666666666666,0.1409260231468979,9.1038200968009,7.8776040377343675,1500,1,baseline_lag1
hour,9,0.046948,0.1510821674895265,9.053518926264253,7.687979116927725,1500,1,baseline_lag1
hour,10,0.040568,0.13253010727126624,9.004880137225735,8.02030890521885,1500,1,baseline_lag1
hour,11,0.03546933333333333,0.12344620420787888,8.686862752788223,7.290897960457242,1500,1,baseline_lag1
hour,12,0.057443999999999995,0.1868047465492602,8.757785189942565,7.932129832989767,1500,1,baseline_lag1
hour,13,0.05416666666666667,0.19251426267508942,9.847280156834964,8.045608025277243,1500,1,baseline_lag1
hour,14,0.06101733333333334,0.2180366146621556,10.523684378820596,8.757763160981527,1500,1,baseline_lag1
hour,15,0.05337066666666666,0.18265536218061962,8.976929477512401,7.780664203625097,1500,1,baseline_lag1
hour,16,0.05284666666666667,0.17610759589902228,9.169565632586194,7.980171706238454,1500,1,baseline_lag1
hour,17,0.07232133333333333,0.21075447326213506,11.013066614716431,9.142461925583904,1500,1,baseline_lag1
hour,18,0.07124266666666668,0.2138724354999182,10.370450323068326,8.959364936580805,1500,1,baseline_lag1
hour,19,0.06199066666666666,0.20652126282782604,9.748221711988418,8.698341168273306,1500,1,baseline_lag1
hour,20,0.05317333333333333,0.16757094417987067,8.30234319833183,7.545719781639616,1500,1,baseline_lag1
hour,21,0.0447956678700361,0.1307800865840492,8.858588576337546,7.844932821094091,1385,1,baseline_lag1
hour,22,0.03840472878998609,0.10534271508603146,7.839528346763164,7.08779166260334,1438,1,baseline_lag1
hour,23,0.03897777777777778,0.11537029754471276,9.534512690986098,8.05334473223808,1440,1,baseline_lag1
day_of_week,0,0.043799442896935936,0.14275567885030405,9.174262242057413,7.896412394358868,5744,1,baseline_lag1
day_of_week,1,0.04286635614475098,0.13854471136659519,9.105646715351392,7.831583037550492,5582,1,baseline_lag1
day_of_week,2,0.04003333333333334,0.12718312111399174,9.440241985929012,8.105134212642122,4320,1,baseline_lag1
day_of_week,3,0.03939251915277152,0.1275071983228987,9.356575967654598,8.068364819820983,4438,1,baseline_lag1
day_of_week,4,0.06521319444444446,0.20506146774944228,9.377624777257038,8.243518879607409,5760,1,baseline_lag1
day_of_week,5,0.043719505642127884,0.14638510498384733,8.572088387027353,7.528522023416963,5583,1,baseline_lag1
day_of_week,6,0.05301898148148148,0.17268169443398626,9.615998904838342,8.247523133503924,4320,1,baseline_lag1
month,7,0.03570580386924616,0.11279604291906166,9.495776908288061,8.113490542987288,2998,1,baseline_lag1
month,8,0.0482561910287337,0.1581166674181934,9.184307187601513,7.960973912788797,32749,1,baseline_lag1
hour,0,0.27015498652291103,0.42556751074237437,73.34442399182544,54.54509824519383,1484,1,baseline_lag24
hour,1,0.2751186666666667,0.46119333039409843,79.49730985181357,51.64057797645156,1500,1,baseline_lag24
hour,2,0.22846533333333333,0.38374013776686605,67.42878576180932,48.24197585241482,1500,1,baseline_lag24
hour,3,0.23374,0.38453259939828244,71.7307446604232,51.63040281279372,1500,1,baseline_lag24
hour,4,0.3095826666666667,0.4907029488397232,73.85915509268854,56.23110319440904,1500,1,baseline_lag24
hour,5,0.30637866666666663,0.4935675516076801,98.71668048419767,57.38384769968998,1500,1,baseline_lag24
hour,6,0.20051999999999998,0.3475601434763965,65.85580520352072,47.1250416798911,1500,1,baseline_lag24
hour,7,0.310016,0.5225472839849041,60.0864818047991,54.70036817135249,1500,1,baseline_lag24
hour,8,0.2840066666666667,0.49008335889587873,66.14194684274153,47.81654041390724,1500,1,baseline_lag24
hour,9,0.3029346666666667,0.519474860476103,81.76283379332439,52.81318284664705,1500,1,baseline_lag24
hour,10,0.24984933333333334,0.4957725365528026,69.26071759800998,46.57011726267189,1500,1,baseline_lag24
hour,11,0.25076533333333334,0.4622389050408169,64.18694741137134,47.537901380443344,1500,1,baseline_lag24
hour,12,0.335112,0.5775978347143162,81.75373364007007,55.83514457312978,1500,1,baseline_lag24
hour,13,0.3495333333333333,0.6050650830007187,83.15745267824536,53.65754552863291,1500,1,baseline_lag24
hour,14,0.35728400000000005,0.6343858111065642,80.37164646492586,54.82536906784983,1500,1,baseline_lag24
hour,15,0.3920013333333333,0.7814318805884489,88.81018720922454,52.91569988361452,1500,1,baseline_lag24
hour,16,0.40178800000000003,0.7031362181919897,86.3965126524681,59.49902368489115,1500,1,baseline_lag24
hour,17,0.392712,0.6984475814261225,87.53879004002168,55.53811464121691,1500,1,baseline_lag24
hour,18,0.36410800000000004,0.6251744097983111,75.55109587192328,53.63395322101765,1500,1,baseline_lag24
